Stats for scenario helsinki_offloading
RAW DATA:
Host,M_ID,RespTime,Download_time,Bytes,Type,P2PAttempts		(Types: 1=3G, 2=WiFi, 3=WiFi_offloaded, 4=P2P)
p166,M27690,0.00,0.00,2513503,4,1
p166,M12353,0.00,0.00,2513503,4,1
p166,M10052,0.00,0.00,728193,4,1
p166,M12196,301.70,1.60,1398375,1,4
p166,M18577,0.00,0.00,2513503,4,1
p166,M25427,0.00,0.00,2513503,4,1
p166,M8208,0.00,0.00,2513503,4,1
p166,M15988,0.00,0.00,2513503,4,1
p166,M9812,0.00,0.00,2513503,4,1
p166,M26236,0.00,0.00,2513503,4,1
p166,M5452,1.50,1.50,2555326,3,0
p166,M6542,0.00,0.00,2513503,4,1
p166,M26993,0.00,0.00,2399220,4,1
p166,M4002,0.00,0.00,2513503,4,1
p166,M28551,0.00,0.00,2513503,4,1
p166,M23363,0.00,0.00,2513503,4,1
p166,M9948,0.00,0.00,2513503,4,1
p166,M11930,0.00,0.00,2513503,4,1
p166,M16393,0.00,0.00,2513503,4,1
p166,M18693,0.00,0.00,2513503,4,1
p166,M13033,0.00,0.00,2513503,4,1
p166,M18453,0.00,0.00,2513503,4,1
p166,M15458,0.70,0.70,428886,3,0
p166,M20885,1.00,1.00,1398375,3,0
p166,M17911,0.00,0.00,2513503,4,1
p166,M18329,0.00,0.00,2513503,4,1
p166,M20006,0.30,0.30,362114,4,1
p166,M22783,0.40,0.30,362566,4,2
p166,M23751,0.00,0.00,2513503,4,1
p166,M25139,0.00,0.00,2513503,4,1
p166,M25653,301.00,0.90,716725,1,3
p166,M22146,1.00,0.80,752083,3,2
p166,M3560,300.90,0.90,405083,1,1
p166,M26102,0.00,0.00,2513503,4,1
p166,M5558,1.10,1.10,2399220,4,1
p166,M5679,31.70,1.30,2310790,3,3
p166,M6923,302.30,2.30,2253566,1,1
p166,M11286,302.40,1.20,1003735,1,1
p166,M19056,0.00,0.00,2513503,4,1
p166,M15011,0.00,0.00,2513503,4,1
p166,M19326,0.00,0.00,2513503,4,1
p166,M16574,0.00,0.00,2399220,4,1
p166,M19204,165.90,1.60,2684953,3,1
p166,M14436,0.00,0.00,2513503,4,1
p166,M22332,0.00,0.00,2513503,4,1
p166,M27988,10.70,0.70,473420,3,0
p166,M17429,0.00,0.00,362566,4,1
p166,M28313,0.90,0.80,796858,3,1
p166,M7509,0.00,0.00,2513503,4,1
p166,M10349,0.00,0.00,2513503,4,1
p166,M3787,0.00,0.00,2513503,4,1
