Stats for scenario helsinki_offloading
RAW DATA:
Host,M_ID,RespTime,Download_time,Bytes,Type,P2PAttempts		(Types: 1=3G, 2=WiFi, 3=WiFi_offloaded, 4=P2P)
p118,M28265,195.20,1.10,1649109,3,0
p118,M27175,154.10,0.80,689568,3,0
p118,M25390,304.20,2.20,1808196,1,0
p118,M26084,41.20,1.30,2476082,3,0
p118,M8849,1.30,1.30,2476082,3,0
p118,M18342,302.60,2.50,2476082,1,0
p118,M16287,114.60,1.30,2476082,3,0
p118,M5291,1.50,1.50,2476082,3,0
p118,M6386,80.20,1.50,2476082,3,0
p118,M12901,243.90,1.60,2422119,3,0
p118,M8617,1.40,1.40,2467727,3,0
p118,M20809,302.40,2.30,2476082,1,0
p118,M22829,1.60,1.60,2846816,3,0
p118,M15299,142.30,1.40,2476082,3,0
p118,M15695,1.40,1.40,2476082,3,0
p118,M14246,89.00,1.50,2476082,3,0
p118,M20520,302.10,2.00,1575737,1,0
p118,M23513,282.50,1.60,2409616,3,0
p118,M21973,182.80,1.60,2274370,3,0
p118,M26900,30.30,0.90,1000550,3,0
p118,M27714,1.50,1.50,2476082,3,0
p118,M16428,303.00,2.70,2476082,1,0
p118,M21299,109.50,2.10,557164,3,0
p118,M14803,21.10,1.70,2476082,3,0
p118,M21179,295.20,1.70,2476082,3,0
p118,M21052,302.50,2.40,2476082,1,0
p118,M22183,1.40,1.40,2476082,3,0
p118,M9917,194.90,1.60,2476082,3,0
p118,M17272,302.80,2.00,1831196,1,0
p118,M18002,302.80,2.70,2476082,1,0
p118,M7330,34.40,1.70,2476082,3,0
p118,M3491,34.40,1.30,2003925,3,0
p118,M15524,0.70,0.70,338529,3,0
p118,M15129,1.10,1.10,1207830,3,0
p118,M7733,174.80,1.30,2476082,3,0
p118,M5034,286.50,1.00,1477354,3,0
p118,M6245,0.80,0.80,561221,3,0
p118,M23022,60.20,1.40,2476082,3,0
p118,M3308,301.90,0.80,577151,1,0
p118,M2336,5.10,1.60,2476082,3,0
p118,M13614,60.80,0.70,667234,3,0
p118,M6933,1.40,1.40,2476082,3,0
p118,M7901,1.60,1.60,2476082,3,0
p118,M12524,0.70,0.70,746546,3,0
p118,M10467,302.60,2.60,2476082,1,0
p118,M18590,203.00,1.80,2792455,3,0
p118,M13334,302.40,1.70,1672040,1,0
p118,M12089,1.50,1.50,2476082,3,0
p118,M18986,1.20,1.20,1831196,3,0
p118,M17810,303.00,2.80,2894066,1,0
p118,M6018,0.60,0.60,698755,3,0
p118,M9405,159.20,1.50,2476082,3,0
p118,M27456,69.50,1.50,2476082,3,0
p118,M7467,0.90,0.90,851542,3,0
p118,M21470,0.60,0.60,339921,3,0
p118,M7189,0.90,0.90,974313,3,0
p118,M28147,0.70,0.70,338529,3,0
p118,M3878,125.10,1.90,2929164,3,0
p118,M2949,0.80,0.80,1241595,3,0
p118,M24816,302.60,2.50,2476082,1,0
p118,M2540,302.00,2.00,1831196,1,0
p118,M16758,302.60,2.50,2476082,1,0
p118,M19629,303.30,2.80,2476082,1,0
p118,M5496,258.40,1.50,2476082,3,0
p118,M5773,109.40,0.70,590285,3,0
p118,M27883,1.50,1.50,2476082,3,0
p118,M3769,288.90,2.80,1973483,3,0
p118,M25186,302.70,2.60,2476082,1,0
p118,M13990,1.30,1.30,2476082,3,0
p118,M18135,304.10,2.20,1831196,1,0
p118,M22626,173.40,1.10,1586607,3,0
p118,M24926,303.80,2.50,2476082,1,0
p118,M3084,1.00,1.00,323797,3,0
p118,M25618,302.90,2.20,1831196,1,0
p118,M16622,303.90,2.40,2476082,1,0
p118,M23834,1.40,1.40,2476082,3,0
p118,M23712,1.50,1.50,2476082,3,0
p118,M23312,1.30,1.30,2476082,3,0
p118,M6596,1.60,1.60,2476082,3,0
p118,M11803,306.00,4.70,2476082,1,0
p118,M14918,1.20,1.20,1149117,3,0
p118,M11245,1.40,1.40,2476082,3,0
p118,M17590,303.80,2.90,1079397,1,0
p118,M19890,308.30,2.70,2476082,1,0
p118,M17103,301.40,1.30,1101042,1,0
p118,M8067,1.40,1.40,2476082,3,0
p118,M18710,29.60,2.50,1415185,3,0
p118,M22413,306.90,4.50,2476082,1,0
p118,M9152,59.10,1.30,1649109,3,0
p118,M15964,211.70,1.50,2792455,3,0
p118,M26615,1.30,1.30,2476082,3,0
p118,M4147,154.80,1.00,1498491,3,0
p118,M14636,1.70,1.70,2759063,3,0
p118,M25887,302.80,2.70,2476082,1,0
p118,M6841,110.80,1.60,2476082,3,0
p118,M20079,302.60,1.70,1306035,1,0
p118,M4780,302.50,2.50,2464764,1,0
p118,M24153,303.00,2.90,2993383,1,0
p118,M26178,56.60,1.80,2476082,3,0
p118,M9675,44.40,1.70,2792455,3,0
p118,M26450,1.10,1.10,1769335,3,0
p118,M10822,96.00,2.80,2476082,3,0
p118,M10700,278.00,1.70,2476082,3,0
p118,M11510,1.50,1.50,2476082,3,0
p118,M19363,1.50,1.50,2476082,3,0
p118,M13892,1.80,1.80,2748582,3,0
p118,M4392,1.40,1.40,2476082,3,0
p118,M12294,1.50,1.50,2476082,3,0
p118,M13141,1.20,1.20,1831196,3,0
p118,M19117,0.80,0.80,389398,3,0
p118,M23975,303.70,3.60,2522220,1,0
p118,M24428,303.60,2.70,2792455,1,0
p118,M16922,304.30,4.00,1598170,1,0
p118,M18827,1.70,1.70,2476082,3,0
p118,M4677,301.90,1.30,926457,1,0
p118,M27013,1.40,1.40,2476082,3,0
p24,M7918,302.40,2.40,2476082,1,0
p24,M27570,304.90,4.80,2476082,1,0
p24,M10611,1.60,1.60,2792455,3,0
p24,M8848,7.80,1.50,2922000,3,0
p24,M11786,1.40,1.40,1833682,3,0
p24,M18066,302.60,2.50,2476082,1,0
p24,M22717,1.50,1.50,2476082,3,0
p24,M19397,210.40,1.40,2476082,3,0
p24,M15465,153.80,1.50,2476082,3,0
p24,M9493,302.30,2.30,2476082,1,0
p24,M26999,304.40,4.20,2792455,1,0
p24,M3951,282.20,1.50,2476082,3,0
p24,M7631,0.80,0.80,638964,3,0
p24,M8168,164.00,1.20,1930590,3,0
p24,M5903,1.60,1.60,2683636,3,0
p24,M10325,98.10,1.50,2476082,3,0
p24,M28492,1.40,1.40,2476082,3,0
p24,M3724,199.90,1.10,1586607,3,0
p24,M9706,265.80,1.50,2476082,3,0
p24,M12861,302.50,2.40,2274370,1,0
p24,M19262,301.30,1.20,905529,1,0
p24,M2915,225.50,1.00,1110047,3,0
p24,M17243,156.10,1.70,2476082,3,0
p24,M19138,302.90,2.80,2476082,1,0
p24,M20886,302.30,2.20,2372672,1,0
p24,M24289,303.70,2.00,1241595,1,0
p24,M6155,302.40,2.40,2476082,1,0
p24,M20482,302.60,2.50,2476082,1,0
p24,M12539,1.30,1.30,2476082,3,0
p24,M5713,153.10,1.50,2476082,3,0
p24,M19571,1.50,1.50,2476082,3,0
p24,M17031,1.40,1.40,2476082,3,0
p24,M18760,302.40,1.80,1743836,1,0
p24,M12010,303.50,2.70,2476082,1,0
p24,M13340,184.90,1.10,463262,3,0
p24,M21129,305.70,4.50,2792455,1,0
p24,M4580,304.00,2.50,2476082,1,0
p24,M17700,304.40,2.40,2476082,1,0
p24,M18514,0.70,0.70,737388,3,0
p24,M17549,1.40,1.40,2476082,3,0
p24,M21484,302.70,2.30,2476082,1,0
p24,M3499,172.90,1.80,2476082,3,0
p24,M21361,302.50,2.40,2476082,1,0
p24,M28278,289.90,1.20,1831196,3,0
p24,M3307,1.50,1.50,2450953,3,0
p24,M11317,236.90,1.50,2476082,3,0
p24,M2578,302.80,2.60,2583314,1,0
p24,M13059,140.50,1.70,2476082,3,0
p24,M11552,1.10,1.10,1620570,3,0
p24,M13572,1.40,1.40,2640176,3,0
p24,M17930,306.00,4.60,2476082,1,0
p24,M24865,302.80,2.70,2476082,1,0
p24,M20384,305.60,2.60,2634280,1,0
p24,M27856,304.70,3.50,2792455,1,0
p24,M9923,1.50,1.50,2476082,3,0
p24,M21872,300.20,1.80,2476082,3,0
p24,M22168,302.10,2.00,1649109,1,0
p24,M26368,302.50,2.40,2476082,1,0
p24,M22044,33.20,2.70,2476082,3,0
p24,M8432,187.80,1.40,2476082,3,0
p24,M10933,155.40,1.20,1831196,3,0
p24,M12714,1.40,1.40,2476082,3,0
p24,M11105,1.60,1.60,2681112,3,0
p24,M13765,1.50,1.50,2476082,3,0
p24,M16000,171.80,1.40,2476082,3,0
p24,M9058,180.60,1.50,2287031,3,0
p24,M19986,97.30,1.50,2476082,3,0
p24,M18899,206.60,1.40,2093843,3,0
p24,M14612,303.60,2.50,2476082,1,0
p24,M25900,302.90,2.80,2476082,1,0
p24,M5533,1.40,1.40,2476082,3,0
p24,M5378,69.00,1.50,2476082,3,0
p24,M14218,0.90,0.90,1116204,3,0
p24,M9339,302.50,2.40,2476082,1,0
p24,M14857,304.80,4.70,2476082,1,0
p24,M25621,5.70,1.30,1831196,3,0
p24,M5099,302.50,2.50,2476082,1,0
p24,M25188,304.30,2.60,2476082,1,0
p24,M3129,213.40,1.50,2476082,3,0
p24,M15260,0.90,0.90,1243359,3,0
p24,M19862,1.90,1.90,2759063,3,0
p24,M12262,268.30,0.90,1008676,3,0
p24,M15143,150.80,1.60,2792455,3,0
p24,M17399,1.00,1.00,1376551,3,0
p24,M25738,301.20,1.10,717364,1,0
p24,M22902,1.40,1.40,2077817,3,0
p24,M24405,302.00,1.60,1104468,1,0
p24,M4455,302.50,2.50,2525321,1,0
p24,M6876,255.60,1.70,2476082,3,0
p24,M4212,1.40,1.40,2204523,3,0
p24,M4696,302.70,2.50,2476082,1,0
p24,M25334,302.60,2.50,2476082,1,0
p24,M10806,305.60,4.30,2476082,1,0
p24,M24640,302.50,2.40,2476082,1,0
p24,M27992,127.20,1.40,2476082,3,0
p24,M7419,39.30,1.40,2347869,3,0
p24,M10033,25.10,1.50,2476082,3,0
p24,M8585,1.40,1.40,2476082,3,0
p24,M23109,90.20,1.50,2315931,3,0
p24,M8065,302.60,2.40,2476082,1,0
p24,M16653,88.40,2.90,2792455,3,0
p24,M15841,59.70,1.60,2792455,3,0
p24,M16535,255.20,1.60,1831196,3,0
p24,M20116,1.30,1.30,2476082,3,0
p24,M26614,302.50,2.40,2476082,1,0
p24,M15725,30.30,1.20,1973483,3,0
p24,M27302,82.80,1.30,2476082,3,0
p24,M7533,148.30,1.70,2476082,3,0
p24,M7135,1.50,1.50,2476082,3,0
p24,M23341,1.50,1.50,2356437,3,0
p24,M25081,302.60,2.50,2476082,1,0
p24,M2817,306.70,4.40,2476082,1,0
p24,M23854,1.50,1.50,2476082,3,0
p24,M16765,1.40,1.40,2476082,3,0
p24,M23578,4.80,1.70,2888543,3,0
p24,M23976,301.60,1.20,822648,1,0
p24,M2377,1.20,1.20,1355635,3,0
p24,M4830,308.50,4.60,1972646,1,0
p24,M20585,302.40,2.30,2476082,1,0
p24,M26168,302.60,2.50,2476082,1,0
p172,M8728,1.50,1.50,2476082,3,0
p172,M27170,299.50,1.00,1616416,3,0
p172,M13720,302.50,2.40,2476082,1,0
p172,M12481,304.50,2.60,1515185,2,0
p172,M14495,102.80,0.90,985722,3,0
p172,M25708,57.70,1.40,2476082,3,0
p172,M18217,306.70,2.60,2476082,1,0
p172,M4006,1.30,1.30,2476082,3,0
p172,M7754,302.30,2.30,2024321,1,0
p172,M5210,208.70,1.50,2476082,3,0
p172,M5970,73.60,1.40,2476082,3,0
p172,M9897,1.50,1.50,2476082,3,0
p172,M27686,305.70,2.70,2476082,1,0
p172,M11775,301.80,1.70,1142009,1,0
p172,M10168,302.50,2.50,2476082,1,0
p172,M13555,305.20,2.30,2274370,1,0
p172,M12344,301.40,1.30,795771,1,0
p172,M20647,302.60,2.50,2476082,1,0
p172,M13281,118.60,1.40,2476082,3,0
p172,M22666,300.90,0.80,338529,1,0
p172,M7085,302.30,2.30,2476082,1,0
p172,M28408,302.80,2.70,2450953,1,0
p172,M4532,1.50,1.50,2476082,3,0
p172,M25897,1.50,1.50,2476082,3,0
p172,M26347,246.80,1.30,1831196,3,0
p172,M27557,1.50,1.50,2476082,3,0
p172,M9304,126.20,1.10,766904,3,0
p172,M8455,1.40,1.40,2476082,3,0
p172,M2964,1.40,1.40,2476082,3,0
p172,M3811,58.80,1.20,1831196,3,0
p172,M19691,305.20,2.40,2476082,1,0
p172,M18122,302.50,2.40,2476082,1,0
p172,M18880,301.40,1.30,1245868,1,0
p172,M15132,197.90,1.50,2598750,3,0
p172,M22459,304.80,4.30,2476082,1,0
p172,M26135,1.50,1.50,2476082,3,0
p172,M4981,302.80,2.80,2901384,1,0
p172,M6881,303.60,2.60,2476082,1,0
p172,M20790,302.60,2.50,2476082,1,0
p172,M22170,1.30,1.30,2179077,3,0
p172,M28155,302.60,2.50,2476082,1,0
p172,M3545,306.10,2.40,2052761,1,0
p172,M12129,1.50,1.50,2450953,3,0
p172,M12646,57.10,1.10,1718335,3,0
p172,M12760,1.30,1.30,2376276,3,0
p172,M20947,304.00,2.50,2476082,1,0
p172,M21911,158.90,1.10,1700760,3,0
p172,M22969,301.10,0.80,338529,1,0
p172,M20422,303.60,2.80,2476082,1,0
p172,M9085,0.80,0.80,578273,3,0
p172,M24348,303.30,2.90,2792455,1,0
p172,M23410,302.10,2.00,1566096,1,0
p172,M24468,303.40,2.50,2476082,1,0
p172,M8954,1.50,1.50,2476082,3,0
p172,M21475,0.80,0.80,718823,3,0
p172,M8313,1.60,1.60,2476082,3,0
p172,M28269,302.20,2.10,1949385,1,0
p172,M26761,40.90,1.40,2476082,3,0
p172,M21197,302.20,1.70,1241595,1,0
p172,M10656,14.40,1.50,2792455,3,0
p172,M13888,302.60,2.50,2476082,1,0
p172,M9738,1.20,1.20,1958714,3,0
p172,M11187,301.50,1.40,926457,1,0
p172,M14065,302.50,2.40,2476082,1,0
p172,M15545,303.20,2.00,1888522,1,0
p172,M16117,305.90,4.40,2476082,1,0
p172,M26957,14.00,1.40,2476082,3,0
p172,M27408,1.50,1.50,2476082,3,0
p172,M25229,1.70,1.70,2541905,3,0
p172,M23841,302.80,2.70,2792455,1,0
p172,M2268,85.60,1.20,1994159,3,0
p172,M9459,1.60,1.60,2377066,3,0
p172,M19909,169.60,1.40,2476082,3,0
p172,M25065,32.50,1.80,2476082,3,0
p172,M24090,301.30,1.20,924910,1,0
p172,M4339,1.30,1.30,2476082,3,0
p172,M17278,304.90,4.80,2476082,1,0
p172,M14324,302.50,2.40,2476082,1,0
p172,M20169,302.60,2.50,2476082,1,0
p172,M15779,302.60,2.50,2450953,1,0
p172,M23673,302.80,2.70,2640176,1,0
p172,M23951,304.30,2.50,2476082,1,0
p172,M6479,37.50,1.30,2476082,3,0
p172,M6631,302.30,2.30,2476082,1,0
p172,M7563,1.70,1.70,2792455,3,0
p172,M2550,302.40,2.40,2476082,1,0
p172,M7938,174.30,1.60,2536400,3,0
p172,M19094,301.30,1.20,717364,1,0
p172,M5756,51.90,1.50,2476082,3,0
p172,M10950,1.50,1.50,2476082,3,0
p172,M17073,0.90,0.90,1261365,3,0
p172,M11087,1.50,1.50,2476082,3,0
p172,M17861,303.00,2.60,2476082,1,0
p172,M8187,1.40,1.40,2476082,3,0
p172,M4140,209.80,1.30,2476082,3,0
p172,M5471,239.80,1.60,2476082,3,0
p172,M16810,102.20,1.50,2476082,3,0
p172,M21686,6.90,1.30,2476082,3,0
p172,M4718,304.80,4.20,2450953,1,0
p172,M10789,1.40,1.40,2274370,3,0
p172,M11635,302.60,2.50,2476082,1,0
p172,M3229,303.90,0.70,498792,1,0
p172,M18391,304.90,4.80,2476082,1,0
p172,M18670,302.60,2.50,2476082,1,0
p172,M11354,232.80,1.60,2476082,3,0
p172,M14194,302.50,1.40,687209,1,0
p172,M22805,301.10,1.00,717364,1,0
p172,M10381,147.20,1.60,2476082,3,0
p172,M17456,302.80,2.30,479249,1,0
p172,M14620,304.70,4.60,1932360,1,0
p172,M16526,301.70,1.60,1334781,1,0
p172,M23218,302.30,2.20,2300780,1,0
p172,M14866,304.20,1.90,1568621,1,0
p172,M16406,303.20,2.50,2476082,1,0
p172,M17738,303.10,3.00,2901384,1,0
p172,M15319,1.40,1.40,2476082,3,0
p172,M3340,302.20,2.20,1958714,1,0
p172,M7269,303.00,2.50,2476082,1,0
p172,M25476,170.10,1.50,2476082,3,0
p172,M26564,1.50,1.50,2476082,3,0
p172,M6177,1.40,1.40,2476082,3,0
p130,M21191,1.60,1.60,2476082,3,0
p130,M10459,164.30,1.40,2476082,3,0
p130,M3958,63.20,1.10,1200213,3,0
p130,M12515,1.40,1.40,1918754,3,0
p130,M11941,304.30,2.80,2476082,1,0
p130,M19671,1.50,1.50,1932018,3,0
p130,M17130,1.30,1.30,2011252,3,0
p130,M11391,305.00,4.70,2476082,1,0
p130,M15100,1.20,1.20,1972646,3,0
p130,M13293,224.70,2.70,2476082,3,0
p130,M17368,303.10,2.50,2476082,1,0
p130,M9250,63.90,1.40,2476082,3,0
p130,M20776,306.20,2.10,1831196,1,0
p130,M21464,257.50,1.20,1831196,3,0
p130,M27045,303.80,2.40,2476082,1,0
p130,M7928,301.30,1.30,1116204,1,0
p130,M10048,301.90,1.90,1562255,1,0
p130,M18172,303.60,2.30,2476082,1,0
p130,M19385,1.20,1.20,2052761,3,0
p130,M10682,304.00,3.90,2476082,1,0
p130,M11496,303.60,2.30,1999874,1,0
p130,M13399,73.70,1.60,2093843,3,0
p130,M15462,1.80,1.80,2476082,3,0
p130,M5063,101.20,1.80,2476082,3,0
p130,M16542,303.10,2.50,2476082,1,0
p130,M18962,1.40,1.40,2008447,3,0
p130,M4490,1.70,1.70,2476082,3,0
p130,M2194,235.90,1.60,2476082,3,0
p130,M17753,302.50,2.40,2476082,1,0
p130,M17238,302.60,2.50,2254892,1,0
p130,M20125,102.20,1.50,2476082,3,0
p130,M9429,303.70,2.60,2476082,1,0
p130,M23477,158.20,1.50,2476082,3,0
p130,M24562,306.40,4.70,2476082,1,0
p130,M21690,1.50,1.50,2476082,3,0
p130,M27796,17.80,1.20,1918754,3,0
p130,M10235,305.00,5.00,2008447,1,0
p130,M22734,303.40,2.30,2476082,1,0
p130,M6800,286.00,0.60,367748,3,0
p130,M7735,301.30,1.30,1116204,1,0
p130,M25447,1.70,1.70,2792455,3,0
p130,M27228,141.10,1.40,2476082,3,0
p130,M5396,73.80,0.60,486370,3,0
p130,M26771,303.00,2.50,2476082,1,0
p130,M2612,1.50,1.50,2476082,3,0
p130,M10345,301.00,0.90,438431,1,0
p130,M19960,1.20,1.20,1633377,3,0
p130,M12370,8.10,1.50,2476082,3,0
p130,M18741,230.20,1.20,909545,3,0
p130,M24905,177.90,0.60,422953,3,0
p130,M6130,302.30,2.30,2476082,1,0
p130,M7063,1.50,1.50,2476082,3,0
p130,M6415,190.50,1.50,2476082,3,0
p130,M21078,115.60,1.60,2476082,3,0
p130,M21355,302.50,2.40,2476082,1,0
p130,M23097,301.00,0.90,408087,1,0
p130,M27575,80.90,1.00,718823,3,0
p130,M26001,3.10,1.60,2476082,3,0
p130,M12716,1.50,1.50,2476082,3,0
p130,M27372,1.40,1.40,2476082,3,0
p130,M13525,1.30,1.30,2476082,3,0
p130,M11740,19.80,1.50,2476082,3,0
p130,M19111,72.10,1.40,2476082,3,0
p130,M7551,302.10,1.40,717364,1,0
p130,M22518,302.10,2.00,1919533,1,0
p130,M27928,0.90,0.90,810980,3,0
p130,M23964,303.00,2.90,2885878,1,0
p130,M18539,303.60,3.30,1116204,1,0
p130,M22871,301.90,1.80,1604801,1,0
p130,M4960,255.20,2.70,2476082,3,0
p130,M17968,302.70,2.60,2476082,1,0
p130,M20297,302.30,2.20,2262749,1,0
p130,M20572,303.00,2.60,2476082,1,0
p130,M26557,303.70,1.90,1482221,1,0
p130,M28339,302.50,2.40,2476082,1,0
p130,M25863,201.10,2.70,2476082,3,0
p130,M15709,117.10,1.40,2476082,3,0
p130,M13637,302.50,2.40,2476082,1,0
p130,M11061,302.00,1.90,1831196,1,0
p130,M16189,126.20,1.40,2476082,3,0
p130,M7441,302.50,2.50,2476082,1,0
p130,M8375,302.40,2.40,2476082,1,0
p130,M16981,202.20,1.30,2476082,3,0
p130,M13083,302.60,2.50,2476082,1,0
p130,M7161,0.70,0.70,432032,3,0
p130,M3366,1.50,1.50,2792455,3,0
p130,M3003,0.90,0.90,1499413,3,0
p130,M16747,303.30,1.90,1778383,1,0
p130,M4215,8.70,1.50,2476082,3,0
p130,M8776,1.50,1.50,2476082,3,0
p130,M25572,1.50,1.50,2807294,3,0
p130,M6605,1.30,1.30,2341112,3,0
p130,M11248,303.20,2.60,2476082,1,0
p130,M13941,304.10,2.80,2901384,1,0
p130,M2409,0.90,0.90,570239,3,0
p130,M20913,302.00,1.90,1865971,1,0
p130,M16022,304.90,4.80,2476082,1,0
p130,M15287,88.50,1.70,2903566,3,0
p130,M14597,140.60,1.30,2476082,3,0
p130,M9670,304.60,4.50,2476082,1,0
p130,M14875,1.50,1.50,2476082,3,0
p130,M21843,1.40,1.40,2476082,3,0
p130,M5599,134.20,1.10,1562255,3,0
p130,M14756,0.70,0.70,350064,3,0
p130,M23223,302.10,2.00,1958714,1,0
p130,M22136,1.60,1.60,2792455,3,0
p130,M23741,307.00,2.70,2476082,1,0
p130,M24397,1.40,1.40,2476082,3,0
p130,M24673,201.20,1.50,2476082,3,0
p130,M13817,303.50,3.40,443052,1,0
p130,M12967,302.50,2.40,2476082,1,0
p130,M2775,303.00,2.50,2476082,1,0
p130,M3504,1.40,1.40,2029339,3,0
p130,M9045,70.50,1.40,2476082,3,0
p130,M14223,302.90,2.80,2901384,1,0
p130,M14345,151.10,0.90,1034119,3,0
p130,M19517,1.40,1.40,2476082,3,0
p130,M9844,306.00,5.00,2341112,1,0
p130,M22240,0.70,0.70,955273,3,0
p130,M26200,302.50,2.40,2476082,1,0
p130,M28103,302.50,2.40,2274370,1,0
p130,M25111,301.00,0.90,601319,1,0
p130,M26320,304.40,2.50,2653416,1,0
p177,M10615,302.70,2.70,2792455,1,0
p177,M11269,171.50,1.30,2333116,3,0
p177,M17132,303.50,2.60,2449672,1,0
p177,M24739,0.90,0.90,835207,3,0
p177,M18730,1.40,1.40,2476082,3,0
p177,M8286,1.40,1.40,2352709,3,0
p177,M15620,1.20,1.20,2124905,3,0
p177,M20495,129.10,1.40,2476082,3,0
p177,M2741,304.50,3.20,2476082,1,0
p177,M23884,59.40,1.50,2476082,3,0
p177,M25421,302.50,2.40,2476082,1,0
p177,M28255,306.50,4.10,1949385,1,0
p177,M3846,1.60,1.60,2476082,3,0
p177,M25021,18.70,1.50,2476082,3,0
p177,M5904,1.30,1.30,1611192,3,0
p177,M5627,303.90,2.70,2476082,1,0
p177,M4779,1.50,1.50,2476082,3,0
p177,M10285,79.10,1.50,2476082,3,0
p177,M14493,304.40,1.90,1815338,1,0
p177,M17244,302.70,2.60,2792455,1,0
p177,M9146,1.20,1.20,1349710,3,0
p177,M23517,158.10,1.40,2579993,3,0
p177,M4130,1.50,1.50,1980471,3,0
p177,M9021,18.20,1.40,2476082,3,0
p177,M16666,29.90,1.80,2476082,3,0
p177,M22302,304.70,4.60,2476082,1,0
p177,M24322,302.90,2.40,2476082,1,0
p177,M21053,35.80,1.50,2476082,3,0
p177,M25690,302.50,2.40,1994159,1,0
p177,M13106,13.30,1.30,1958714,3,0
p177,M19175,302.40,2.30,2476082,1,0
p177,M17395,302.60,2.50,2476082,1,0
p177,M10074,1.60,1.60,2476082,3,0
p177,M21800,32.10,1.50,2476082,3,0
p177,M9353,208.80,1.40,2450953,3,0
p177,M8141,1.10,1.10,1930590,3,0
p177,M20674,0.80,0.80,1144268,3,0
p177,M27624,302.70,2.60,2476082,1,0
p177,M4468,54.10,0.90,1079993,3,0
p177,M26776,1.60,1.60,2792455,3,0
p177,M7213,106.70,1.40,2476082,3,0
p177,M7698,1.80,1.80,2274370,3,0
p177,M2978,303.70,2.80,1076474,1,0
p177,M10465,1.70,1.70,2476082,3,0
p177,M12486,1.60,1.60,2476082,3,0
p177,M6371,1.50,1.50,2476082,3,0
p177,M7065,1.60,1.60,2476082,3,0
p177,M8032,18.70,1.40,2495253,3,0
p177,M25798,236.60,2.10,2476082,3,0
p177,M24622,1.50,1.50,2476082,3,0
p177,M27732,302.50,2.40,2476082,1,0
p177,M23131,206.20,1.50,2476082,3,0
p177,M24186,303.20,2.70,2792455,1,0
p177,M27493,302.60,2.50,2476082,1,0
p177,M26040,1.70,1.70,2476082,3,0
p177,M6867,135.80,1.30,2119663,3,0
p177,M10772,219.80,1.20,1712867,3,0
p177,M8486,63.70,1.50,2476082,3,0
p177,M13491,302.50,2.40,2476082,1,0
p177,M19628,1.50,1.50,1389092,3,0
p177,M15425,0.80,0.80,344044,3,0
p177,M8767,1.60,1.60,2476082,3,0
p177,M7436,205.80,2.60,2476082,3,0
p177,M14616,303.00,2.90,2901384,1,0
p177,M27885,301.60,1.50,1207830,1,0
p177,M6103,119.00,1.30,2476082,3,0
p177,M23284,1.30,1.30,2476082,3,0
p177,M28053,302.50,2.40,2476082,1,0
p177,M6637,1.60,1.60,2687232,3,0
p177,M21415,1.50,1.50,2476082,3,0
p177,M26948,1.40,1.40,2476082,3,0
p177,M23674,0.80,0.80,1116204,3,0
p177,M14207,1.40,1.40,2476082,3,0
p177,M26304,138.80,1.10,1366999,3,0
p177,M2553,304.70,3.10,2476082,1,0
p177,M4578,1.50,1.50,2476082,3,0
p177,M24485,153.30,1.30,2476082,3,0
p177,M25210,301.40,1.30,1014547,1,0
p177,M12739,303.20,3.10,2805807,1,0
p177,M11405,1.30,1.30,2476082,3,0
p177,M11921,33.10,1.40,2476082,3,0
p177,M11643,2.00,2.00,2901384,3,0
p177,M11003,1.60,1.60,2476082,3,0
p177,M18285,302.80,2.70,2710171,1,0
p177,M13783,302.50,2.40,2476082,1,0
p177,M16255,303.10,2.70,2640176,1,0
p177,M14078,127.40,0.80,643449,3,0
p177,M12060,1.50,1.50,2476082,3,0
p177,M15169,1.40,1.40,2476082,3,0
