Stats for scenario helsinki_offloading
RAW DATA:
Host,M_ID,RespTime,Download_time,Bytes,Type,P2PAttempts		(Types: 1=3G, 2=WiFi, 3=WiFi_offloaded, 4=P2P)
pc51,M25272,2.00,2.00,1918731,1,0
pc51,M20539,2.50,2.10,1918731,1,0
pc51,M16795,2.00,2.00,1918731,1,0
pc51,M18611,4.90,1.90,1918731,1,0
pc51,M23887,3.20,2.00,1918731,1,0
pc51,M24973,4.00,2.90,1143878,1,0
pc51,M23485,2.30,2.10,2033288,1,0
pc51,M4779,5.90,3.80,1600908,1,0
pc51,M2915,2.70,1.60,1157877,1,0
pc51,M6153,2.30,2.10,1918731,1,0
pc51,M20246,2.00,2.00,1918731,1,0
pc51,M24841,8.00,3.00,1918731,1,0
pc51,M21298,2.10,2.10,1918731,1,0
pc51,M27678,2.60,1.60,488524,1,0
pc51,M27953,2.60,1.90,1891801,1,0
pc51,M22022,5.60,3.70,1918731,1,0
pc51,M12905,1.70,1.70,1469933,1,0
pc51,M17670,4.00,2.90,1918731,1,0
pc51,M21009,2.20,2.20,1918731,1,0
pc51,M23307,1.90,1.90,1918731,1,0
pc51,M16059,2.40,2.40,1918731,1,0
pc51,M11291,2.30,2.20,1762983,1,0
pc51,M18116,1.30,1.30,969628,1,0
pc51,M21400,4.40,2.00,1918731,1,0
pc51,M2684,4.00,2.00,1918731,1,0
pc51,M4069,4.20,4.20,2985792,1,0
pc51,M23023,1.30,1.30,993585,1,0
pc51,M3495,2.30,2.30,2212901,1,0
pc51,M11608,2.80,2.60,1448225,1,0
pc51,M25562,2.20,2.10,1918731,1,0
pc51,M11435,4.70,2.60,395347,1,0
pc51,M13179,0.70,0.70,374420,1,0
pc51,M16686,1.40,1.40,969628,1,0
pc51,M17779,2.30,2.30,2003233,1,0
pc51,M7107,2.30,2.30,2034453,1,0
pc51,M20143,2.50,2.50,2381931,1,0
pc51,M28306,2.30,2.30,2151389,1,0
pc51,M4512,3.20,3.20,1312845,1,0
pc51,M9129,1.90,1.90,1734331,1,0
pc51,M8951,1.90,1.90,1918731,1,0
pc51,M9248,2.60,2.60,2522617,1,0
pc51,M26486,4.00,3.90,1982530,1,0
pc51,M4969,3.20,3.20,501823,1,0
pc51,M5658,2.20,2.20,2003233,1,0
pc51,M10413,1.40,1.20,567191,1,0
pc51,M10893,4.10,3.40,1181651,1,0
pc51,M12552,2.30,2.20,1918731,1,0
